#FFFFFF,#FFFF00,#000000,#61380B,#F4FA58
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
0,0,0,0,0,0,2,2,3,3,2,0,0,0,0,0
0,0,0,0,0,2,4,1,2,2,0,0,0,0,0,0
0,0,0,0,2,4,4,1,2,0,0,0,0,0,0,0
0,0,0,2,4,4,1,2,0,0,0,0,0,0,0,0
0,0,2,4,4,4,1,2,0,0,0,0,0,0,0,0
0,0,2,4,1,1,2,0,0,0,0,0,0,0,0,0
0,0,2,4,4,1,2,0,0,0,0,0,0,0,0,0
0,0,0,2,4,1,1,2,2,2,0,0,0,0,0,0
0,0,0,0,2,4,1,3,2,0,0,0,0,0,0,0
0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
